ownerName,candidateParent,candidateParentBasis,candidateParentEvidenceUrl,dataConfidenceTier,dataConfidenceScore,actionabilityGate,auditPriority,recordCount,legalOwnerRecordCount,breederSignalRecordCount,topCrops,topJurisdictions,rawEvidenceRoles,rawEvidenceExamples,recommendedNextStep
Kozono Teruo,,,,unverified,0,holder_verification_required,critical,46,0,46,Peach 16 | Pear 12 | Plum 7 | Grape 5,JP 41 | US 4 | FR 1,cpvoBreeder:31,CPVO: 2008-03-13 - Pear - NATSUSHIZUKU - 18647 (cpvoBreeder) | CPVO: 2008-03-05 - Pear - NASHICHUKANBOHON NO1GO - 14912 (cpvoBreeder) | CPVO: 2004-08-18 - Peach - HAKUSHU - 13719 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Golodriga Pavel YaKOVLEVICh,,,,unverified,0,holder_verification_required,critical,46,0,46,Grape 46,RU 46,cpvoBreeder:46,CPVO: 2017-01-19 - Grape - OLEG - 42787 (cpvoBreeder) | CPVO: 2017-01-19 - Grape - LIVADIJSKIJ ChERNYJ - 42786 (cpvoBreeder) | CPVO: 2017-01-19 - Grape - GURZUFSKIJ ROZOVYJ - 42783 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Fr Elne,,,,unverified,0,holder_verification_required,critical,46,0,46,Peach 33 | Nectarine 9 | Apricot 4,US 46,,,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Lietuvos agrarinių ir miškų mokslų centras,,,,unverified,0,holder_verification_required,critical,46,0,46,Apple 12 | Currant-Black 11 | Cherry-Sweet 9 | Strawberry 4,LT 46,cpvoBreeder:46,CPVO: 2024-12-11 - Cherry-Sweet - Tarame - SA-2516 (cpvoBreeder) | CPVO: 2024-02-22 - Apple - Red Elegance - SA-1921 (cpvoBreeder) | CPVO: 2024-02-22 - Apple - Gracia - SA-1920 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Jessica Scalzo,"Costa Berry International, University of Florida","USPTO breeder string contains entity hint 'Costa Berry International, University of Florida'.",https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP35002,unverified,0,holder_verification_required,critical,45,0,45,Blueberry 45,QZ 21 | US 8 | CH 5 | NZ 4,breeder:9 | inventor:9 | cpvoBreeder:49,"USPTO: 2023-02-28 - Blueberry - C15-268 - USPP 35,002 (breeder, inventor) | USPTO: 2023-02-28 - Blueberry - C15-270 - USPP 35,001 (breeder, inventor) | USPTO: 2023-02-21 - Blueberry - C14-771 - USPP 34,989 (breeder, inventor)",Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Joan Bonany,,,,unverified,0,holder_verification_required,critical,45,0,45,Peach 40 | Apple 5,QZ 41 | US 3 | CH 1,cpvoBreeder:43,CPVO: 2025-09-30 - Apple - HOT84A1 - 22-3540 (cpvoBreeder) | CPVO: 2025-06-16 - Apple - HOT84A1 - 20200710 (cpvoBreeder) | CPVO: 2025-02-17 - Peach - Sublor 2601 - 20191202 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
James Cummins,,,,unverified,0,holder_verification_required,critical,45,0,45,Apple 45,QZ 17 | US 14 | BR 7 | JP 4,cpvoBreeder:41,CPVO: 2025-07-07 - Apple - G 890 - 20200194 (cpvoBreeder) | CPVO: 2025-06-17 - Apple - G.484 - 20251247 (cpvoBreeder) | CPVO: 2025-06-17 - Apple - G.257 - 20251249 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
James J. Luby,,,,unverified,0,holder_verification_required,critical,45,0,45,Apple 20 | Blueberry 9 | Grape 7 | Strawberry 7,US 17 | QZ 13 | CA 9 | NZ 3,cpvoBreeder:15,CPVO: 2025-05-02 - Apple - MN80 - 20250925 (cpvoBreeder) | CPVO: 2022-07-18 - Apple - MN55 - 20172540 (cpvoBreeder) | CPVO: 2022-06-07 - Blueberry - Minpink1 - 20170868 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Stefano Lugli,,,,unverified,0,holder_verification_required,critical,45,0,45,Cherry-Sweet 41 | Plum 3 | Prunus 1,QZ 20 | US 17 | NZ 4 | GB 3,cpvoBreeder:63,CPVO: 2023-08-14 - Cherry-Sweet - PA7UNIBO - 23/802 (cpvoBreeder) | CPVO: 2023-08-14 - Prunus - PA6UNIBO - 23/587 (cpvoBreeder) | CPVO: 2023-07-26 - Cherry-Sweet - PA1UNIBO - 4855 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
M. Fischer,,,,unverified,0,holder_verification_required,critical,45,0,45,Apple 31 | Pear 12 | Plum 2,DE 15 | NL 8 | HU 8 | QZ 4,cpvoBreeder:7,CPVO: 2006-05-04 - Apple - RELINDA - P9904378 (cpvoBreeder) | CPVO: 2006-01-20 - Apple - REANDA - P9904376 (cpvoBreeder) | CPVO: 2003-08-14 - Apple - Pinova - APP147 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Yamada Yoshio,,,,unverified,0,holder_verification_required,critical,45,0,45,Citrus 24 | Apple 19 | Peach 1 | Nectarine 1,JP 41 | US 4,cpvoBreeder:25,CPVO: 2011-05-24 - Citrus - TSUNONOZOMI - 25000 (cpvoBreeder) | CPVO: 2009-03-19 - Citrus - TSUNOKAGAYAKI - 21450 (cpvoBreeder) | CPVO: 2009-03-19 - Citrus - SEINANNOHIKARI - 21449 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Thomas M. Sjulin,,,,unverified,0,holder_verification_required,critical,45,0,45,Strawberry 40 | Raspberry 5,US 24 | QZ 14 | CA 5 | HU 2,cpvoBreeder:31,CPVO: 2018-07-10 - Raspberry - Drisraspeleven - 20181700 (cpvoBreeder) | CPVO: 2018-06-20 - Raspberry - DRISRASPELEVEN - 320-04-04289/2018-11 (cpvoBreeder) | CPVO: 2009-12-23 - Strawberry - DrisStrawFive - 2008317 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
GULYaEVA Aleksandra Alekseevna,,,,unverified,0,holder_verification_required,high,45,0,45,Cherry-Tart 16 | Cherry-Sweet 10 | Prunus 8 | Plum 5,RU 45,cpvoBreeder:43,CPVO: 2017-06-01 - Cherry-Sweet - PODAROK ORLU - 69539 (cpvoBreeder) | CPVO: 2016-03-24 - Plum - KROMSKAYa - 69538 (cpvoBreeder) | CPVO: 2015-09-14 - Apricot - KUNACh - 63722 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Rolfe Nominees Pty Ltd.,,,,unverified,9,legal_entity_profile_needed,critical,44,0,44,Blueberry 43 | Passion Fruit 1,QZ 21 | US 16 | CL 6 | IL 1,cpvoBreeder:35,CPVO: 2026-01-16 - Blueberry - T11-119 - 202500189 (cpvoBreeder) | CPVO: 2026-01-16 - Blueberry - F4119 - 202500188 (cpvoBreeder) | CPVO: 2025-12-04 - Blueberry - T112-519 - 202300370 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Paul Argot,,,,unverified,0,holder_verification_required,critical,44,0,44,Cherry-Sweet 31 | Cherry-Tart 13,FR 16 | QZ 13 | NZ 4 | IT 4,cpvoBreeder:34,CPVO: 2015-09-17 - Cherry-Sweet - MASDEL - 17869.0 (FR) (cpvoBreeder) | CPVO: 2015-09-17 - Cherry-Sweet - MASDEL - 17869 (cpvoBreeder) | CPVO: 2009-01-20 - Cherry-Sweet - Arodel - 2002008 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
ARTYuH Svetlana Nikolaevna,,,,unverified,0,holder_verification_required,critical,44,0,44,Apple 40 | Cherry-Tart 2 | Cherry-Sweet 2,RU 44,cpvoBreeder:43,CPVO: 2019-02-25 - Apple - APORT ASS - 75368 (cpvoBreeder) | CPVO: 2018-02-13 - Apple - OChI ChERNYE - 62079 (cpvoBreeder) | CPVO: 2018-02-13 - Apple - APORT ASS - 54568 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Evdokimenko Sergej NIKOLAEVICh,,,,unverified,0,holder_verification_required,critical,44,0,44,Raspberry 43 | Pear 1,RU 44,cpvoBreeder:44,CPVO: 2019-08-28 - Raspberry - YuBILEJNAYa KULIKOVA - 78615 (cpvoBreeder) | CPVO: 2017-12-06 - Raspberry - MEDVEZhONOK - 74664 (cpvoBreeder) | CPVO: 2017-02-28 - Raspberry - POKLON KAZAKOVU - 60860 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Ermakova NADEZhDA Vladimirovna,,,,unverified,0,holder_verification_required,critical,44,0,44,Apple 24 | Pear 19 | Currant-Black 1,RU 44,cpvoBreeder:23,CPVO: 2014-12-04 - Apple - ShUShENSKOE - 52269 (cpvoBreeder) | CPVO: 2014-12-04 - Apple - POKLON ShUKShINU - 52271 (cpvoBreeder) | CPVO: 2013-01-21 - Apple - ShUShENSKOE - 52268 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Cot International S.A.R.L.,,,,unverified,0,holder_verification_required,critical,44,0,44,Apricot 37 | Plum 6 | Cherry-Sweet 1,QZ 44,cpvoBreeder:44,CPVO: 2026-02-27 - Apricot - Alpha Cot - 20260448 (cpvoBreeder) | CPVO: 2025-11-28 - Apricot - Denomination not available - 20252567 (cpvoBreeder) | CPVO: 2025-11-28 - Apricot - Denomination not available - 20252568 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Walther Faedi,,,,unverified,0,holder_verification_required,critical,43,0,43,Strawberry 37 | Pear 2 | Apple 2 | Cherry-Sweet 2,QZ 34 | BR 6 | US 2 | CH 1,cpvoBreeder:45,CPVO: 2025-12-22 - Strawberry - Dafne - 20252839 (cpvoBreeder) | CPVO: 2025-05-19 - Strawberry - Elodì - 20220856 (cpvoBreeder) | CPVO: 2025-05-15 - Strawberry - KIARA - 218060000312024 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Cristian Fontich,,,,unverified,0,holder_verification_required,critical,43,0,43,Peach 40 | Apple 3,QZ 41 | US 1 | CH 1,cpvoBreeder:43,CPVO: 2025-11-26 - Apple - HOT81A1 - 20252102 (cpvoBreeder) | CPVO: 2025-10-07 - Apple - HOT81A1 - 9/349 (cpvoBreeder) | CPVO: 2025-07-01 - Apple - HOT81A1 - 25-3681 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Gabriele Di Gaspero,,,,unverified,0,holder_verification_required,critical,43,0,43,Grape 43,QZ 22 | BR 10 | CA 6 | US 4,cpvoBreeder:41,CPVO: 2025-08-18 - Grape - SORELI - 20250128 (cpvoBreeder) | CPVO: 2025-08-18 - Grape - SAUVIGNON RYTOS - 20250131 (cpvoBreeder) | CPVO: 2025-08-18 - Grape - MERLOT KHORUS - 20250129 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Sempra Praha a.s.,,,,unverified,0,holder_verification_required,critical,43,0,43,Pear 14 | Cherry-Sweet 14 | Apple 12 | Strawberry 3,CZ 13 | PL 11 | QZ 10 | US 6,cpvoBreeder:41,CPVO: 2026-04-20 - Pear - Carac - 20211674 (cpvoBreeder) | CPVO: 2024-04-30 - Pear - Cordula - 22-3551 (cpvoBreeder) | CPVO: 2024-02-19 - Pear - Cordula - 20193336 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Joseph Maranto,,,,unverified,0,holder_verification_required,critical,43,0,43,Grape 34 | Pistachio 9,QZ 12 | US 10 | MX 7 | CL 6,cpvoBreeder:31,CPVO: 2022-07-21 - Pistachio - RANDY - 20220406 (cpvoBreeder) | CPVO: 2022-07-01 - Pistachio - UC-Famoso - 20221636 (cpvoBreeder) | CPVO: 2022-07-01 - Pistachio - UC-B19-69 - 20221636 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Aldo Telch,Molari Nursery,USPTO breeder string contains entity hint 'Molari Nursery'.,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20210176908,unverified,0,holder_verification_required,critical,43,0,43,Raspberry 43,US 10 | QZ 10 | UA 6 | AU 4,breeder:4 | inventor:4 | cpvoBreeder:28,"USPTO: 2021-06-10 - Raspberry - Halley - USPPA 20210176908 (breeder, inventor) | USPTO: 2019-07-05 - Raspberry - Castion - MX PBRA 2988 (breeder, inventor) | USPTO: 2017-06-27 - Raspberry - Enrosadira - USPP 28,138 (breeder, inventor)",Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Rudolfs Dumbravs,,,,unverified,0,holder_verification_required,critical,43,0,43,Apple 32 | Pear 11,LV 40 | QZ 3,cpvoBreeder:43,CPVO: 2018-02-28 - Pear - Suvenirs - 1312/0098/2018 (FI) (cpvoBreeder) | CPVO: 2012-10-08 - Apple - Joko - 20112656 (cpvoBreeder) | CPVO: 2012-10-08 - Apple - Inese - 20112657 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Bogdanova Irina Ivanovna,,,,unverified,0,holder_verification_required,critical,43,0,43,Strawberry 17 | Raspberry 16 | Pear 6 | Kiwifruit 4,RU 43,cpvoBreeder:23,CPVO: 2019-03-06 - Raspberry - ALAYa ROSSYP' - 49692 (cpvoBreeder) | CPVO: 2018-02-13 - Raspberry - ANTARES - 53747 (cpvoBreeder) | CPVO: 2017-12-06 - Raspberry - ANTARES - 54093 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Beograd Poljoprivredni fakultet,,,,unverified,0,holder_verification_required,critical,43,0,43,Grape 41 | Peach 2,RS 43,,,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Nicotra Antonino,,,,unverified,0,holder_verification_required,critical,43,0,43,Peach 41 | Plum 2,IT 36 | QZ 7,cpvoBreeder:49,CPVO: 2010-07-28 - Peach - Denomination not available - JO201035 (cpvoBreeder) | CPVO: 2010-07-28 - Peach - Denomination not available - JO201036 (cpvoBreeder) | CPVO: 2010-03-23 - Peach - PMG 104 - RM11NV/2006_RM11NV/2006 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
José Egea Caballero,,,,unverified,0,holder_verification_required,critical,42,0,42,Apricot 29 | Almond 7 | Peach 4 | Plum 2,QZ 42,cpvoBreeder:54,CPVO: 2025-03-26 - Apricot - CEBASGOLD - 20250573 (cpvoBreeder) | CPVO: 2025-03-17 - Plum - Lucia Plum - 20202972 (cpvoBreeder) | CPVO: 2025-03-17 - Plum - Lucia Myrtea - 20202972 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Alehina Elena Mihajlovna,,,,unverified,0,holder_verification_required,critical,42,0,42,Cherry-Sweet 24 | Plum 5 | Cherry-Tart 5 | Apple 4,RU 42,cpvoBreeder:38,CPVO: 2019-03-06 - Plum - GERTSOG - 52821 (cpvoBreeder) | CPVO: 2018-08-02 - Cherry-Sweet - TSENTRAL'NAYa - 75468 (cpvoBreeder) | CPVO: 2018-02-13 - Cherry-Tart - KAZAChKA - 45307 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
VARTAPETYaN Valentina Vasil'Evna,,,,unverified,0,holder_verification_required,critical,42,0,42,Apple 34 | Currant-Black 8,RU 42,cpvoBreeder:34,CPVO: 2008-01-25 - Apple - MOSKOVSKOE - 38995 (cpvoBreeder) | CPVO: 2006-12-26 - Apple - TAT'YaNIN DEN' - 41917 (cpvoBreeder) | CPVO: 2006-12-26 - Apple - PAMYaTI TIHOMIROVA - 38996 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Dr. Sabine Franken-Bembenek,,,,unverified,0,holder_verification_required,critical,42,0,42,Prunus 32 | Cherry-Tart 10,DE 12 | CA 6 | NZ 6 | PE 4,cpvoBreeder:18,CPVO: 2025-12-18 - Prunus - GI 8422 - PRU 00100 (cpvoBreeder) | CPVO: 2025-12-18 - Prunus - GI 7741 - PRU 00099 (cpvoBreeder) | CPVO: 2021-05-18 - Prunus - Gi 1592 - 320-04-04399/2018-11 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Volynkin Vladimir ALEKSANDROVICh,,,,unverified,0,holder_verification_required,high,42,0,42,Grape 39 | Plum 2 | Pear 1,RU 42,cpvoBreeder:39,CPVO: 2019-09-19 - Grape - STELLA - 79010 (cpvoBreeder) | CPVO: 2019-09-19 - Grape - NIKA - 79004 (cpvoBreeder) | CPVO: 2019-09-19 - Grape - ARTEK - 79006 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
"Ca, Us Watsonville",,,,unverified,0,holder_verification_required,high,42,0,42,Strawberry 29 | Raspberry 7 | Blueberry 3 | Rubus 1,US 42,,,Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Diego Ioriatti,,,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP37347,unverified,0,holder_verification_required,critical,41,0,41,Raspberry 34 | Blackberry 4 | Strawberry 3,QZ 19 | US 9 | UA 6 | MX 3,breeder:8 | inventor:8 | cpvoBreeder:39,"USPTO: 2026-03-31 - Strawberry - BTSB One - USPP 37,347 (breeder, inventor) | USPTO: 2026-02-06 - Raspberry - BT RasThree - CA PBR 7636 (breeder, inventor) | USPTO: 2025-10-14 - Raspberry - BT RasSeven - USPP 37,013 (breeder, inventor)",Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Marta C. Baptista,,,,unverified,0,holder_verification_required,critical,41,0,41,Blueberry 30 | Raspberry 8 | Apple 3,QZ 18 | US 13 | NZ 6 | RU 2,cpvoBreeder:56,CPVO: 2026-04-20 - Blueberry - Drisbluetwentytwo - 20201297 (cpvoBreeder) | CPVO: 2026-04-20 - Blueberry - Drisbluetwentythree - 20201566 (cpvoBreeder) | CPVO: 2026-04-20 - Blueberry - Drisbluetwentysix - 20212204 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Simó Alegre,,,,unverified,0,holder_verification_required,critical,41,0,41,Peach 40 | Apple 1,QZ 40 | US 1,cpvoBreeder:40,CPVO: 2025-02-17 - Peach - Sublor 2601 - 20191202 (cpvoBreeder) | CPVO: 2025-02-17 - Peach - Sublim 3801 - 20191201 (cpvoBreeder) | CPVO: 2025-02-17 - Peach - Sublim 3201 - 20201225 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Craig Robert Pressler,,,,unverified,0,holder_verification_required,critical,41,0,41,Citrus 34 | Citrus-Lemon 4 | Citrus-Mandarin Hybrid 3,QZ 10 | ES 9 | AU 8 | US 7,cpvoBreeder:35,CPVO: 2025-07-04 - Citrus - AC4916 - 20250156 (cpvoBreeder) | CPVO: 2025-04-23 - Citrus - AC41114 - 190/8 (cpvoBreeder) | CPVO: 2025-04-22 - Citrus - AC41114 - 20250852 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Yoshiie Kazuo,,,,unverified,0,holder_verification_required,critical,41,0,41,Apple 29 | Cherry-Sweet 6 | Peach 5 | Pear 1,JP 25 | US 6 | KR 5 | CL 1,cpvoBreeder:17,CPVO: 2021-02-03 - Apple - HOSHINO SPICE - 35215 (cpvoBreeder) | CPVO: 2019-08-16 - Apple - TOSAIKA - 31760 (cpvoBreeder) | CPVO: 2018-05-29 - Apple - SHINKU - 28946 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Marvin L. Nies,,,,unverified,0,holder_verification_required,critical,41,0,41,Cherry-Sweet 31 | Prunus 6 | Cherry-Tart 2 | Grape 2,US 11 | QZ 8 | FR 8 | CA 3,cpvoBreeder:13,CPVO: 2023-12-14 - Cherry-Sweet - Giant Red - 23262001 (cpvoBreeder) | CPVO: 2007-02-19 - Cherry-Sweet - MARIM - 1017893.0 (FR) (cpvoBreeder) | CPVO: 2007-02-19 - Cherry-Sweet - MARIANT - 1017894.0 (FR) (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Apal'Kova NADEZhDA NIKITIChNA,,,,unverified,0,holder_verification_required,critical,41,0,41,Grape 41,RU 41,cpvoBreeder:41,CPVO: 2020-03-16 - Grape - YuLIYa - 80861 (cpvoBreeder) | CPVO: 2019-07-23 - Grape - LOTOS - 72561 (cpvoBreeder) | CPVO: 2019-07-23 - Grape - BESSEMYaNNYJ RANNIJ - 72561 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Kalju Kask 100%,,,,unverified,0,holder_verification_required,critical,41,0,41,Apple 26 | Cherry-Sweet 11 | Pear 4,QZ 24 | EE 17,cpvoBreeder:49,CPVO: 2019-09-07 - Apple - MADLI - 1366.0 (EE) (cpvoBreeder) | CPVO: 2018-07-20 - Apple - AULE - 1367.0 (EE) (cpvoBreeder) | CPVO: 2018-01-09 - Apple - Kersti - 1365 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Pierron-Darbonne Alexandre,Darbonne Pépinière S.A.S.,Reverse-name variant of Alexandre Pierron-Darbonne; do not merge until holder/applicant evidence is clearer.,,unverified,0,holder_verification_required,critical,41,0,41,Strawberry 23 | Raspberry 8 | Blueberry 8 | Blackberry 2,US 41,cpvoBreeder:41,CPVO: 2021-07-06 - Blackberry - Plablack 15157 - 16602038 (cpvoBreeder) | CPVO: 2020-08-04 - Raspberry - Plapink 1004 - 16501074_2 (cpvoBreeder) | CPVO: 2020-03-26 - Strawberry - Plared 15105 - 16873360 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Layne R.E.C. Dr,,,,unverified,0,holder_verification_required,critical,41,0,41,Strawberry 13 | Citrus 8 | Apple 6 | Pomegranate 5,QZ 21 | US 9 | GB 7 | IT 4,cpvoBreeder:3,CPVO: 2001-11-05 - Apricot - AC Harostar - 19950516 (cpvoBreeder) | CPVO: 2001-11-05 - Apricot - AC Harojoy - 19950518 (cpvoBreeder) | CPVO: 2001-11-05 - Apricot - AC Haroblush - 19950517 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Dr. Helmut Jacob,,,,unverified,0,holder_verification_required,critical,41,0,41,Plum 21 | Apple 10 | Pear 6 | Quince 3,DE 28 | QZ 10 | UA 2 | BR 1,cpvoBreeder:29,CPVO: 2018-11-08 - Plum - Topend Plus - 17261001 (cpvoBreeder) | CPVO: 2012-12-18 - Plum - Aprimira - PFL 00051 (cpvoBreeder) | CPVO: 2011-01-20 - Plum - Kulinaria - PFL 00049 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Miyake Masanori,,,,unverified,0,holder_verification_required,critical,41,0,41,Grape 16 | Peach 11 | Plum 6 | Apricot 4,JP 41,cpvoBreeder:37,CPVO: 2022-07-12 - Grape - SOIE NOIRE - 36365 (cpvoBreeder) | CPVO: 2019-04-23 - Peach - KAITOKA17 - 32468 (cpvoBreeder) | CPVO: 2019-04-23 - Peach - KAITOKA 17 - 32468 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Ragulina Tamara Vasil'Evna,,,,unverified,0,holder_verification_required,high,41,0,41,Apple 29 | Currant-Black 6 | Currant 5 | Strawberry 1,RU 41,cpvoBreeder:29,CPVO: 2019-12-26 - Apple - FEYa - 47916 (cpvoBreeder) | CPVO: 2019-08-08 - Apple - SOYuZ - 78519 (cpvoBreeder) | CPVO: 2019-03-06 - Apple - SOYuZ - 51249 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
"Landbruks- og matdepartementet, N - 0030 Oslo",,,,unverified,0,holder_verification_required,high,41,0,41,Raspberry 20 | Strawberry 11 | Apple 8 | Plum 1,NO 41,cpvoBreeder:41,CPVO: 2008-12-04 - Strawberry - Iris - 0894 (cpvoBreeder) | CPVO: 2008-12-04 - Strawberry - Gudleif - 0895 (cpvoBreeder) | CPVO: 2008-12-04 - Strawberry - Blink - 0896 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Astahov Aleksandr IVANOVICh,,,,unverified,0,holder_verification_required,high,41,0,41,Currant-Black 14 | Strawberry 9 | Cherry-Tart 7 | Apple 5,RU 41,cpvoBreeder:31,CPVO: 2019-12-26 - Currant-Black - PODAROK ASTAHOVA - 59958 (cpvoBreeder) | CPVO: 2019-03-06 - Currant-Black - SOLOV'INAYa NOCh' - 50037 (cpvoBreeder) | CPVO: 2019-03-06 - Currant-Black - KUDMIG - 56326 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
PRIMOR FRUIT SA,,,,unverified,9,legal_entity_profile_needed,critical,40,0,40,Peach 40,FR 33 | QZ 7,cpvoBreeder:40,CPVO: 2025-03-26 - Peach - Primatop - 21008 (cpvoBreeder) | CPVO: 2025-03-26 - Peach - Primadiva - 21013 (cpvoBreeder) | CPVO: 2025-03-26 - Peach - Prima 977 - 21013 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Katalin M. Pakozdi,,,,unverified,0,holder_verification_required,critical,40,0,40,Strawberry 40,QZ 14 | NZ 13 | US 7 | ES 3,cpvoBreeder:16,CPVO: 2025-01-31 - Strawberry - DRISSTRAWEIGHTYEIGHT - 10/169 (cpvoBreeder) | CPVO: 2024-01-15 - Strawberry - Drisstraweightyeight - 20211910 (cpvoBreeder) | CPVO: 2023-11-17 - Strawberry - Drisstrawonehundredfour - 20232404 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Walter Hartmann,,,,unverified,0,holder_verification_required,critical,40,0,40,Plum 40,QZ 20 | UA 6 | CZ 6 | HU 5,cpvoBreeder:57,CPVO: 2024-08-09 - Plum - Hoh 4528 - 20241837 (cpvoBreeder) | CPVO: 2024-07-30 - Plum - Hoh 7286 - 20241778 (cpvoBreeder) | CPVO: 2023-03-08 - Plum - NR 7346 - 320-04-03260/2023-11 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Werner Gruppe,,,,unverified,0,holder_verification_required,critical,40,0,40,Prunus 22 | Cherry-Tart 10 | Cherry-Sweet 8,QZ 7 | US 7 | JP 5 | CH 3,cpvoBreeder:40,CPVO: 2019-02-14 - Prunus - GiSelA 3 - 2017268 (cpvoBreeder) | CPVO: 2019-02-14 - Prunus - Gi 2091 - 2017268 (cpvoBreeder) | CPVO: 2018-02-22 - Prunus - GI 31817 - 32874 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Skuin' Kaspar PETROVICh,,,,unverified,0,holder_verification_required,critical,40,0,40,Grape 31 | Nectarine 5 | Peach 2 | Strawberry 1,RU 40,cpvoBreeder:31,CPVO: 2008-07-31 - Grape - PERVENETS SKUINYa - 48633 (cpvoBreeder) | CPVO: 2008-07-31 - Grape - LYuBAVA - 48634 (cpvoBreeder) | CPVO: 2008-07-31 - Grape - ANNUShKA - 48632 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
