breederName,companyName,relationshipType,identityConfidence,relationshipConfidence,status,patentAssigneeCount,coListedEntityCount,cultivarMatchCount,directEvidenceCount,directEvidenceShare,rightsBasis,basis,source
Gao Shang-Feng,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gao Yi-ke,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gao Ying,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gao Yong,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gaponova YuLIYa Valentinovna,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gardner Leith Marie,Zaiger's Genetics,breeding-program association,high,high,verified_relationship,0,378,294,378,1.0,none,378 co-listed breeder/entity records; 294 same-cultivar records,record-derived affiliation graph
Garfield Shults,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gargiulo Angel Antonio,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gargiulo Angelo,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Garsia Arturo,Driscoll's,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Garth M. Sanewski,Department of Agriculture,breeding-program association,medium,low,review_required,0,1,1,1,1.0,none,1 co-listed breeder/entity records; 1 same-cultivar records,record-derived affiliation graph
"Gary Lyrene, Paul Wright","Gary Wright, Blueberry Farms of Australia a Division of Chiquita Brands South Pacific Ltd",breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
"Gary Lyrene, Paul Wrigth",University of Florida,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Gary R. Kitahara,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gary Rright,"Gary Wright, Blueberry Farms of Australia a Division of Chiquita Brands South Pacific Ltd",breeding-program association,high,low,review_required,0,0,2,0,0.0,none,2 same-cultivar records,record-derived affiliation graph
Gary Wright,University of Florida,breeding-program association,high,low,review_required,0,0,7,0,0.0,none,7 same-cultivar records,record-derived affiliation graph
Garzon Tiznado Jose Antonio,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gaspar S. Orozco,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gaspero Gabriele Di,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gasymov Firudin Mamedaga Ogly,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gaton Manuel Acosta,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gavat Corinacaplan Ionlamureanu Gheorghe,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gavin R. Sills,Driscoll's,breeding-program association,medium,low,review_required,0,0,61,0,0.0,none,61 same-cultivar records,record-derived affiliation graph
Gavriel Nachmias,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gavrilina Zlata Mihajlovna,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
GAVRISh Vladimir FEDOROVICh,RESPUBLIKANSKOE NAUCHNO-PROIZVODSTVENNOE DOCHERNEE UNITARNOE PREDPRITIE «INSTITUT PLODOVODSTVA»,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Gb. East Malling,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gebroeders Saels,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gebroeders Schreurs,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Geerdens Gerard Albert,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Geeroms J.A. Ir.,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gelton Geraldo Fernandes Guimaraes,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gene Y. Arakaki,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Generalitat Valen/Anecoop,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Generalitat Valenciana,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gennady Eramin,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gennady Eremin,Krymsk Experiment Breeding Station Herrn Vladimir Gavrish,breeding-program association,high,low,review_required,0,1,0,1,0.5,none,1 co-listed breeder/entity records,record-derived affiliation graph
Gennaro Fazio,Cornell University,breeding-program association,high,medium,probable_relationship,0,1,6,1,1.0,none,1 co-listed breeder/entity records; 6 same-cultivar records,record-derived affiliation graph
Geoffrey Plunkett,Institute of Experimental Botany Apple Breeding,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Geoffrey R. Rowson,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Georg Schneider,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Georg Schneider Gbr,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Georg Weiss,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George C. Kircher,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George D. Aiken,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George D. Madden,USDA Agricultural Research Service,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
George Edward Alexander,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George F. Smith,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George Higgins,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George Hulme Green,"Sunshine Horticultural Services Pty Ltd, Horticulture Innovation Australia Ltd, and George Hulme Green",breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
George L. Barkley,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George L. Polk,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George L. Slate,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George LaMont,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George M. Reed,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George Nakamura,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George P. Sunday,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George Peter Ribarits,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George R. Fowler,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George R. McFeely,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George Remaily,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George T. Howard,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George W. James,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George W. Nelson,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
George W. Remaily,Cornell University,breeding-program association,medium,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Georges Carbonneil,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Georges Del Bard,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Georges H. Odier,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Georges M. Swillen,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Georges Odier,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Georgi Gutoranov,Bio Tree Ltd.,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Georgi Karamitov,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Georgi S. Petkov,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Georgios Poultsidis,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gerald R. Thew,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gerald William Thompson,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gerard Scherpereel,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gerard Taliani,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gerard W. Krewer,University of Minnesota,breeding-program association,medium,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Gerardo Escalera Villanueva,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gerardo Llacer,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gerardo Llácer Ill,IVIA,breeding-program association,high,medium,probable_relationship,0,1,3,1,1.0,none,1 co-listed breeder/entity records; 3 same-cultivar records,record-derived affiliation graph
Gerardus C.M. Bentvelsen,ABZ Seeds,breeding-program association,medium,low,review_required,0,0,3,0,0.0,none,3 same-cultivar records,record-derived affiliation graph
Gerardus T.M. Vissers,VISSERS AARDBEI PLANTEN B.V.,breeding-program association,medium,low,review_required,0,0,2,0,0.0,none,2 same-cultivar records,record-derived affiliation graph
Gerawan Mike,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gerd Rabben,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gereda Cornejo Carlos Alberto,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Geremías Rodríguez Bautista,Splendor Produce,breeding-program association,high,low,review_required,0,0,17,0,0.0,none,17 same-cultivar records,record-derived affiliation graph
Gerhard Baab,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gerhard Och,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gerhard Strecker,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gerhard Sundermaeyer,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gerhard Sundermeyer,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gerhardt Alleweldt,Gerhardt Alleweldt c/o Institut für Rebenzüchtung,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
German Istvanne,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Germanova Marina Gennadievna,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Germondari Luciano,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gerrit de Weert,Advanced Berry Breeding,breeding-program association,high,high,verified_relationship,0,6,0,6,1.0,none,6 co-listed breeder/entity records,record-derived affiliation graph
Gerrit De Weert Beheer,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gert Ferreira,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gert Ferreira/Corné Muller,Citrigene Pty Ltd.,breeding-program association,high,low,review_required,0,0,4,0,0.0,none,4 same-cultivar records,record-derived affiliation graph
Gertrud Spiegler,Proplant AG,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Gertrud Spiegler Tu München,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gertrude Gale,Van Well Nursery,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Gertrude Mayer,HBLA and Federal Office for Viticulture and Pomology Klosterneuburg,public-source affiliation,high,high,verified_relationship,0,0,0,0,0.0,none,Official and industry sources support Mayer's historical institute affiliation for Roesler and Rathay only. They do not support assigning her later private joint-breeding rights to that institution.,profile research ledger
Gertrude P. Millikan,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gevo mbH,Heinz Murawski + im Institut für Obstforschung Dresden-Pillnitz,breeding-program association,high,low,review_required,0,0,4,0,0.0,none,4 same-cultivar records,record-derived affiliation graph
Gevo mbh-Germany,Heinz Murawski + im Institut für Obstforschung Dresden-Pillnitz,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Geza Bujdosó,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gfa Brisset,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Ghassem Tehrani,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gi Ok Lee,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giacinto Scandola,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giacomo Cola,Kiku G.m.b.H - S.R.L,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Giacomo Muratore,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giambiasi Mario,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gianfranco Castagnoli,CIV - Consorzio Italiano Vivaisti,public-source affiliation,high,high,verified_relationship,0,0,1,0,0.0,none,Reviewed patent records identify CIV as assignee and official registry material links Castagnoli and his heirs to CIV cultivars. Apply the rollup only to CIV-supported records.,profile research ledger
Gianfranco Castagnoli (now deceased,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gianfranco Spagnolo,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gianluca Baruzzi,CREA Fruit Breeding,breeding-program association,high,low,review_required,0,0,2,0,0.0,none,2 same-cultivar records,record-derived affiliation graph
Gideon J.N. Coetzee,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
GIDZYuK Ivan KARPOVICh,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gie Des Coustieres,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gigante Vincenzo,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gil' Elena Vladimirovna,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gilbert L. Smith,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gilbert McDowell,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gilbert Miller,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gilberto Molari,Molari Nursery,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Gill Kenneth Ray,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gillen Anne,University of California,breeding-program association,high,low,review_required,0,0,2,0,0.0,none,2 same-cultivar records,record-derived affiliation graph
Gilles Valette,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gilmer Cynthia,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gim Hyeonjoo,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gim in Young,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gina Fernandez James Ballington,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gino Garreffa,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giora Ben Ari,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giordano Francesco,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giordano Roberto,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giorgio Baroni,CREA Fruit Breeding,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Giorgio Proietti,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giorgio Scanavini,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giorgio Scanvini,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giovanni B. Bubani,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giovanni Bosco Bubani,Pepinieres Valla Georges SCEA,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Giovanni Fiori,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giovanni Zanzi,Vivai Fratelli Zanzi Di Carlo Zanzi E C S.A.S.,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Girardin-Fleury Sca,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
GIRIChEV Vadim SERGEEVICh,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gitta Ficzek,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giumarra Salvador,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giuseppe Battistini,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giuseppe Matozzo,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giuseppe Ralli,G & I Ralli & Sons Pty Ltd.,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Giuseppe Reforgiato,CITRICOM IP (PTY) LTD.,breeding-program association,high,low,review_required,0,0,2,0,0.0,none,2 same-cultivar records,record-derived affiliation graph
Giuseppe Reforgiato Recupero,CITRICOM IP (PTY) LTD.,breeding-program association,high,medium,probable_relationship,0,2,2,2,1.0,none,2 co-listed breeder/entity records; 2 same-cultivar records,record-derived affiliation graph
Giuseppe Russo,CITRICOM IP (PTY) LTD.,breeding-program association,high,medium,probable_relationship,0,2,2,2,1.0,none,2 co-listed breeder/entity records; 2 same-cultivar records,record-derived affiliation graph
Giuseppe Zuccherelli,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giuseppi Nardi,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giuseppina Las Casas,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Giyo International,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Glebova Ekaterina IL'INIChNA,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Glen A. Moody,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Glen A. Teague,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Glen E. Handy,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Glen Goldup,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Glen Lowell,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Glenam Knott,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Glenn M. Brooks,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Glenn O. Dillon,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Glenn S. Cole,University of California,public-source affiliation,high,high,verified_relationship,0,2,13,2,1.0,none,"UC Davis's program backgrounder expressly states university ownership of employee inventions, and the program's official materials identify Cole's employee-breeder role.",profile research ledger
Glenn T. Nakagawa,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Glover Stephen,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Glynn Bookall,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Glynn Fankhauser,G & E Fankhauser PTY LTD,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Gnezdilov YuRIJ ALEKSANDROVICh,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Go Young Bu,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gobierno De La Rioja,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Goeroeg Erika,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gojko J. Jelenkovic,Rutgers University,breeding-program association,medium,low,review_required,0,0,3,0,0.0,none,3 same-cultivar records,record-derived affiliation graph
Golodriga Pavel YaKOVLEVICh,RESPUBLIKANSKOE NAUCHNO-PROIZVODSTVENNOE DOCHERNEE UNITARNOE PREDPRITIE «INSTITUT PLODOVODSTVA»,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
GOLOVAChEV Dmitrij L'VOVICh,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Golovina LIDIYa Semenovna,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
GOLYaEVA Ol'Ga Dmitrievna,RESPUBLIKANSKOE NAUCHNO-PROIZVODSTVENNOE DOCHERNEE UNITARNOE PREDPRITIE «INSTITUT PLODOVODSTVA»,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Gomorov Vladimir EFIMOVICh,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gonai Takeru,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
GONcALO Santos Da Silva,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
GONChAROV Viktor GEORGIEVICh,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
GONChAROVA LYuDMILA Andreevna,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gong Yong-hong,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
gong young pal,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gonsalves Dennis,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Gonz?lez Mat?as,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
